Tên sản phẩm,Giá (VNĐ),Thương hiệu,Đã bán,Điểm đánh giá,Số lượng đánh giá,Danh Mục,platform
Combo Angel's Liquid Serum 30ml + Kem Dưỡng 50ml Sáng Da Chuyên Sâu,738000,Angel's Liquid,25,5.0,4,Chăm sóc da mặt,Hasaki
Combo 2 Sữa Rửa Mặt Simple Giúp Da Sạch Thoáng 150ml,186000,Simple,99,4.8,129,Chăm sóc da mặt,Hasaki
"Serum oh!oh! Dưỡng Sáng Da, Giảm Thâm Nám 10ml",229000,oh!oh!,80,5.0,28,Chăm sóc da mặt,Hasaki
Nước Hoa Hồng Skin1004 Phục Hồi Và Tái Tạo Da 210ml,312000,Skin1004,59,4.9,18,Chăm sóc da mặt,Hasaki
Kem Dưỡng Skin1004 Làm Dịu Da Chiết Xuất Rau Má 75ml,273000,Skin1004,67,4.9,23,Chăm sóc da mặt,Hasaki
Serum La Roche-Posay Giảm Mụn 3 Tác Động 30ml,727000,La Roche-Posay,25,4.7,9,Chăm sóc da mặt,Hasaki
Nước Tẩy Trang Simple Làm Sạch Trang Điểm Vượt Trội 400ml,125000,Simple,141,4.9,22,Chăm sóc da mặt,Hasaki
Khăn Lau Mặt Khô Hotosu Cao Cấp 80 Miếng (15x20cm),39000,Hotosu,447,5.0,9,Chăm sóc da mặt,Hasaki
Combo 2 Nước Tẩy Trang L'Oreal Căng Mịn Da 400ml+95ml,179000,L'Oreal,97,4.8,297,Chăm sóc da mặt,Hasaki
Gel Rửa Mặt Eucerin Cho Da Nhờn Mụn 400ml,402000,Eucerin,43,5.0,229,Chăm sóc da mặt,Hasaki
Combo 10 Mặt Nạ Wonjin Siêu Tinh Chất Phục Hồi 27g,159000,WonJin,108,5.0,8,Chăm sóc da mặt,Hasaki
Nước Tẩy Trang JMsolution Hyaluronic Acid Mọi Loại Da 500ml,114000,JMsolution,148,4.9,14,Chăm sóc da mặt,Hasaki
